bbref_id,season,Name,Age,Level,Team,G,PA,AB,R,H,X1B,X2B,X3B,HR,RBI,BB,IBB,uBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
sianimi01,2022,Michael Siani,22,Maj-NL,Cincinnati,9,24,24,1,4,4,0,0,0,0,0,0,0,7,0,0,0,1,0,1,0.167,0.167,0.167,0.333
garcima01,2022,Maikel Garcia,22,Maj-AL,Kansas City,9,23,22,1,7,6,1,0,0,2,1,0,1,5,0,0,0,1,0,0,0.318,0.348,0.364,0.711
hamilca01,2022,Caleb Hamilton,27,Maj-AL,Minnesota,22,23,18,5,1,0,0,0,1,1,4,0,4,14,0,1,0,0,0,0,0.056,0.227,0.222,0.45
hamilbi02,2022,Billy Hamilton,31,"Maj-AL,Maj-NL","Miami,Minnesota",37,23,20,13,1,1,0,0,0,0,2,0,2,12,0,1,0,0,10,1,0.05,0.136,0.05,0.186
youngja02,2022,Jared Young,26,Maj-NL,Chicago,6,22,19,2,5,3,2,0,0,0,3,0,3,7,0,0,0,0,1,0,0.263,0.364,0.368,0.732
proctfo01,2022,Ford Proctor,25,Maj-NL,San Francisco,7,22,18,3,2,1,0,0,1,6,2,0,2,3,0,0,2,0,0,0,0.111,0.182,0.278,0.46
battema01,2022,Matthew Batten,27,Maj-NL,San Diego,15,22,19,0,2,1,1,0,0,1,2,0,2,6,1,0,0,0,0,0,0.105,0.227,0.158,0.385
herreiv01,2022,Iván Herrera,22,Maj-NL,St. Louis,11,22,18,0,2,2,0,0,0,1,2,0,2,8,0,1,1,0,0,0,0.111,0.191,0.111,0.302
ramoshe02,2022,Heliot Ramos,22,Maj-NL,San Francisco,9,22,20,4,2,2,0,0,0,0,2,0,2,6,0,0,0,1,0,0,0.1,0.182,0.1,0.282
godoyjo01,2022,José Godoy,27,"Maj-AL,Maj-NL","Minnesota,Pittsburgh",10,22,20,3,1,1,0,0,0,1,2,0,2,9,0,0,0,0,0,0,0.05,0.136,0.05,0.186
kolozma01,2022,Mark Kolozsvary,26,Maj-NL,Cincinnati,10,21,20,3,4,1,2,0,1,3,1,0,1,9,0,0,0,1,0,0,0.2,0.238,0.45,0.688
severpe01,2022,Pedro Severino,28,Maj-NL,Milwaukee,8,21,18,0,4,2,2,0,0,1,3,0,3,7,0,0,0,0,0,0,0.222,0.333,0.333,0.667
souzast01,2022,Steven Souza Jr.,33,Maj-AL,Seattle,6,19,19,0,3,3,0,0,0,1,0,0,0,8,0,0,0,2,0,0,0.158,0.158,0.158,0.316
johnsbr03,2022,Bryce Johnson,26,Maj-NL,San Francisco,11,19,18,1,2,2,0,0,0,2,1,0,1,7,0,0,0,0,0,0,0.111,0.158,0.111,0.269
